Unit position,Benign,Malignant
"(0, 9)",36393,0
"(0, 8)",837,0
"(2, 9)",3168,0
"(1, 9)",2152,0
"(3, 9)",1455,0
"(8, 9)",219,181
"(7, 9)",276,13
"(5, 9)",128,0
"(2, 7)",17,0
"(5, 8)",16,0
"(4, 9)",380,0
"(1, 4)",4,0
"(4, 8)",40,0
"(7, 8)",164,25
"(3, 8)",137,0
"(1, 6)",59,0
"(0, 6)",521,0
"(2, 8)",105,0
"(0, 5)",126,0
"(0, 7)",789,0
"(1, 8)",33,0
"(1, 7)",46,0
"(3, 7)",14,0
"(6, 9)",156,2
"(6, 8)",12,1
"(5, 7)",3,0
"(4, 7)",11,0
"(2, 5)",3,0
"(1, 5)",21,0
"(0, 4)",10,0
"(3, 6)",12,0
"(8, 8)",212,150
"(9, 8)",123,234
"(2, 6)",3,0
"(4, 6)",2,0
"(0, 3)",3,0
"(3, 5)",1,0
"(9, 9)",5,113
"(5, 0)",0,4968
"(4, 0)",0,4612
"(3, 0)",0,2822
"(4, 2)",0,271
"(7, 0)",0,2428
"(4, 1)",0,474
"(3, 2)",0,132
"(0, 1)",0,66
"(6, 0)",0,3695
"(3, 1)",0,353
"(6, 1)",0,318
"(2, 0)",0,1249
"(5, 3)",0,253
"(9, 5)",0,1959
"(5, 2)",0,384
"(8, 0)",0,1631
"(5, 1)",0,391
"(0, 0)",0,274
"(2, 1)",0,159
"(9, 3)",0,6470
"(7, 4)",0,453
"(6, 4)",0,276
"(9, 6)",0,751
"(9, 7)",0,327
"(1, 1)",0,89
"(6, 5)",0,84
"(7, 5)",0,174
"(6, 6)",0,31
"(9, 2)",0,7753
"(6, 2)",0,419
"(5, 4)",0,104
"(7, 3)",0,617
"(8, 2)",0,459
"(9, 4)",0,3983
"(9, 0)",0,43051
"(8, 5)",0,198
"(7, 2)",0,488
"(4, 3)",0,80
"(1, 0)",0,538
"(8, 3)",0,613
"(8, 4)",0,486
"(6, 3)",0,414
"(8, 6)",0,37
"(3, 3)",0,26
"(2, 2)",0,61
"(9, 1)",0,5811
"(4, 5)",0,3
"(4, 4)",0,18
"(7, 1)",0,286
"(5, 6)",0,1
"(8, 1)",0,257
"(5, 5)",0,27
"(1, 2)",0,21
"(7, 6)",0,34
"(8, 7)",0,15
"(0, 2)",0,11
"(2, 3)",0,6
"(7, 7)",0,7
"(3, 4)",0,2
"(6, 7)",0,1
