Img. name,Benign,Malignant
SOB_B_A-14-22549AB-100-001.png,24,4
SOB_B_A-14-22549AB-100-002.png,26,2
SOB_B_A-14-22549AB-100-003.png,24,4
SOB_B_A-14-22549AB-100-004.png,23,5
SOB_B_A-14-22549AB-100-005.png,27,1
SOB_B_A-14-22549AB-100-006.png,20,8
SOB_B_A-14-22549AB-100-007.png,13,15
SOB_B_A-14-22549AB-100-008.png,3,25
SOB_B_A-14-22549AB-100-009.png,12,16
SOB_B_A-14-22549AB-100-010.png,16,12
SOB_B_A-14-22549AB-100-011.png,18,10
SOB_B_A-14-22549AB-100-012.png,13,15
SOB_B_A-14-22549AB-100-013.png,23,5
SOB_B_A-14-22549AB-100-014.png,17,11
SOB_B_A-14-22549AB-100-015.png,20,8
SOB_B_A-14-22549AB-100-016.png,24,4
SOB_B_A-14-22549AB-100-017.png,25,3
SOB_B_A-14-22549AB-100-018.png,18,10
SOB_B_A-14-22549AB-100-019.png,22,6
SOB_B_A-14-22549AB-100-020.png,18,10
SOB_B_A-14-22549AB-100-021.png,19,9
SOB_B_A-14-22549AB-100-022.png,16,12
SOB_B_A-14-22549AB-100-023.png,20,8
SOB_B_A-14-22549AB-100-024.png,22,6
SOB_B_A-14-22549AB-100-025.png,26,2
SOB_B_A-14-22549AB-100-026.png,19,9
SOB_B_A-14-22549AB-100-027.png,24,4
SOB_B_A-14-22549AB-100-028.png,25,3
SOB_B_A-14-22549AB-100-029.png,26,2
SOB_B_A-14-22549AB-100-030.png,23,5
SOB_B_A-14-22549AB-200-001.png,25,3
SOB_B_A-14-22549AB-200-002.png,25,3
SOB_B_A-14-22549AB-200-003.png,25,3
SOB_B_A-14-22549AB-200-004.png,25,3
SOB_B_A-14-22549AB-200-005.png,25,3
SOB_B_A-14-22549AB-200-006.png,25,3
SOB_B_A-14-22549AB-200-007.png,3,25
SOB_B_A-14-22549AB-200-008.png,7,21
SOB_B_A-14-22549AB-200-009.png,16,12
SOB_B_A-14-22549AB-200-010.png,21,7
SOB_B_A-14-22549AB-200-011.png,15,13
SOB_B_A-14-22549AB-200-012.png,24,4
SOB_B_A-14-22549AB-200-013.png,22,6
SOB_B_A-14-22549AB-200-014.png,25,3
SOB_B_A-14-22549AB-200-015.png,22,6
SOB_B_A-14-22549AB-200-016.png,9,19
SOB_B_A-14-22549AB-200-017.png,25,3
SOB_B_A-14-22549AB-200-018.png,28,0
SOB_B_A-14-22549AB-200-019.png,23,5
SOB_B_A-14-22549AB-200-020.png,26,2
SOB_B_A-14-22549AB-200-021.png,11,17
SOB_B_A-14-22549AB-200-022.png,11,17
SOB_B_A-14-22549AB-200-023.png,14,14
SOB_B_A-14-22549AB-200-024.png,25,3
SOB_B_A-14-22549AB-200-025.png,19,9
SOB_B_A-14-22549AB-200-026.png,19,9
SOB_B_A-14-22549AB-200-027.png,4,24
SOB_B_A-14-22549AB-200-028.png,20,8
SOB_B_A-14-22549AB-200-029.png,25,3
SOB_B_A-14-22549AB-200-030.png,23,5
SOB_B_A-14-22549AB-200-031.png,21,7
SOB_B_A-14-22549AB-200-032.png,22,6
SOB_B_A-14-22549AB-40-001.png,25,3
SOB_B_A-14-22549AB-40-002.png,21,7
SOB_B_A-14-22549AB-40-003.png,21,7
SOB_B_A-14-22549AB-40-004.png,24,4
SOB_B_A-14-22549AB-40-005.png,22,6
SOB_B_A-14-22549AB-40-006.png,23,5
SOB_B_A-14-22549AB-40-007.png,20,8
SOB_B_A-14-22549AB-40-008.png,22,6
SOB_B_A-14-22549AB-40-009.png,26,2
SOB_B_A-14-22549AB-40-010.png,25,3
SOB_B_A-14-22549AB-40-011.png,26,2
SOB_B_A-14-22549AB-40-012.png,26,2
SOB_B_A-14-22549AB-40-013.png,24,4
SOB_B_A-14-22549AB-40-014.png,23,5
SOB_B_A-14-22549AB-40-015.png,26,2
SOB_B_A-14-22549AB-40-016.png,24,4
SOB_B_A-14-22549AB-40-017.png,20,8
SOB_B_A-14-22549AB-40-018.png,24,4
SOB_B_A-14-22549AB-40-019.png,26,2
SOB_B_A-14-22549AB-40-020.png,6,22
SOB_B_A-14-22549AB-40-021.png,2,26
SOB_B_A-14-22549AB-40-022.png,9,19
SOB_B_A-14-22549AB-40-023.png,9,19
SOB_B_A-14-22549AB-40-024.png,21,7
SOB_B_A-14-22549AB-40-025.png,4,24
SOB_B_A-14-22549AB-40-026.png,14,14
SOB_B_A-14-22549AB-40-027.png,18,10
SOB_B_A-14-22549AB-40-028.png,16,12
SOB_B_A-14-22549AB-40-029.png,22,6
SOB_B_A-14-22549AB-400-001.png,20,8
SOB_B_A-14-22549AB-400-002.png,25,3
SOB_B_A-14-22549AB-400-003.png,11,17
SOB_B_A-14-22549AB-400-004.png,22,6
SOB_B_A-14-22549AB-400-005.png,28,0
SOB_B_A-14-22549AB-400-006.png,23,5
SOB_B_A-14-22549AB-400-007.png,14,14
SOB_B_A-14-22549AB-400-008.png,25,3
SOB_B_A-14-22549AB-400-009.png,23,5
SOB_B_A-14-22549AB-400-010.png,23,5
SOB_B_A-14-22549AB-400-011.png,14,14
SOB_B_A-14-22549AB-400-012.png,9,19
SOB_B_A-14-22549AB-400-013.png,26,2
SOB_B_A-14-22549AB-400-014.png,26,2
SOB_B_A-14-22549AB-400-015.png,23,5
SOB_B_A-14-22549AB-400-016.png,10,18
SOB_B_A-14-22549AB-400-017.png,2,26
SOB_B_A-14-22549AB-400-018.png,15,13
SOB_B_A-14-22549AB-400-019.png,21,7
SOB_B_A-14-22549AB-400-020.png,25,3
SOB_B_A-14-22549AB-400-021.png,24,4
SOB_B_A-14-22549AB-400-022.png,26,2
SOB_B_A-14-22549AB-400-023.png,25,3
SOB_B_A-14-22549AB-400-024.png,25,3
SOB_B_A-14-22549AB-400-025.png,23,5
SOB_B_A-14-22549AB-400-026.png,11,17
SOB_B_A-14-22549AB-400-027.png,26,2
SOB_B_A-14-22549AB-400-028.png,19,9
SOB_B_A-14-22549AB-400-029.png,18,10
SOB_B_A-14-22549AB-400-030.png,20,8
SOB_B_A-14-22549CD-100-001.png,18,10
SOB_B_A-14-22549CD-100-002.png,13,15
SOB_B_A-14-22549CD-100-003.png,4,24
SOB_B_A-14-22549CD-100-004.png,2,26
SOB_B_A-14-22549CD-100-005.png,14,14
SOB_B_A-14-22549CD-100-006.png,25,3
SOB_B_A-14-22549CD-100-007.png,11,17
SOB_B_A-14-22549CD-100-008.png,22,6
SOB_B_A-14-22549CD-100-009.png,24,4
SOB_B_A-14-22549CD-100-010.png,25,3
SOB_B_A-14-22549CD-100-011.png,21,7
SOB_B_A-14-22549CD-100-012.png,20,8
SOB_B_A-14-22549CD-100-013.png,19,9
SOB_B_A-14-22549CD-100-014.png,12,16
SOB_B_A-14-22549CD-100-015.png,28,0
SOB_B_A-14-22549CD-100-016.png,27,1
SOB_B_A-14-22549CD-100-017.png,25,3
SOB_B_A-14-22549CD-100-018.png,25,3
SOB_B_A-14-22549CD-100-019.png,23,5
SOB_B_A-14-22549CD-100-020.png,22,6
SOB_B_A-14-22549CD-100-021.png,26,2
SOB_B_A-14-22549CD-100-022.png,17,11
SOB_B_A-14-22549CD-100-023.png,19,9
SOB_B_A-14-22549CD-100-024.png,17,11
SOB_B_A-14-22549CD-100-025.png,8,20
SOB_B_A-14-22549CD-100-026.png,16,12
SOB_B_A-14-22549CD-100-027.png,15,13
SOB_B_A-14-22549CD-100-028.png,26,2
SOB_B_A-14-22549CD-100-029.png,14,14
SOB_B_A-14-22549CD-100-030.png,10,18
SOB_B_A-14-22549CD-100-031.png,5,23
SOB_B_A-14-22549CD-100-032.png,12,16
SOB_B_A-14-22549CD-100-033.png,23,5
SOB_B_A-14-22549CD-100-034.png,22,6
SOB_B_A-14-22549CD-100-035.png,17,11
SOB_B_A-14-22549CD-100-036.png,18,10
SOB_B_A-14-22549CD-200-001.png,20,8
SOB_B_A-14-22549CD-200-002.png,10,18
