Img. name,Benign,Malignant
SOB_B_A-14-22549G-100-001.png,21,7
SOB_B_A-14-22549G-100-002.png,25,3
SOB_B_A-14-22549G-100-003.png,18,10
SOB_B_A-14-22549G-100-004.png,17,11
SOB_B_A-14-22549G-100-005.png,22,6
SOB_B_A-14-22549G-100-006.png,18,10
SOB_B_A-14-22549G-100-007.png,17,11
SOB_B_A-14-22549G-100-008.png,24,4
SOB_B_A-14-22549G-100-009.png,22,6
SOB_B_A-14-22549G-100-010.png,26,2
SOB_B_A-14-22549G-100-011.png,23,5
SOB_B_A-14-22549G-100-012.png,22,6
SOB_B_A-14-22549G-100-013.png,19,9
SOB_B_A-14-22549G-100-014.png,16,12
SOB_B_A-14-22549G-100-015.png,16,12
SOB_B_A-14-22549G-100-016.png,14,14
SOB_B_A-14-22549G-100-017.png,20,8
SOB_B_A-14-22549G-100-018.png,7,21
SOB_B_A-14-22549G-100-019.png,22,6
SOB_B_A-14-22549G-100-020.png,22,6
SOB_B_A-14-22549G-100-021.png,15,13
SOB_B_A-14-22549G-100-022.png,18,10
SOB_B_A-14-22549G-100-023.png,23,5
SOB_B_A-14-22549G-100-024.png,26,2
SOB_B_A-14-22549G-100-025.png,28,0
SOB_B_A-14-22549G-100-026.png,25,3
SOB_B_A-14-22549G-100-027.png,26,2
SOB_B_A-14-22549G-100-028.png,19,9
SOB_B_A-14-22549G-100-029.png,24,4
SOB_B_A-14-22549G-100-030.png,15,13
SOB_B_A-14-22549G-100-031.png,22,6
SOB_B_A-14-22549G-100-032.png,20,8
SOB_B_A-14-22549G-100-033.png,23,5
SOB_B_A-14-22549G-100-034.png,13,15
SOB_B_A-14-22549G-200-001.png,7,21
SOB_B_A-14-22549G-200-002.png,26,2
SOB_B_A-14-22549G-200-003.png,26,2
SOB_B_A-14-22549G-200-004.png,13,15
SOB_B_A-14-22549G-200-005.png,10,18
SOB_B_A-14-22549G-200-006.png,18,10
SOB_B_A-14-22549G-200-007.png,12,16
SOB_B_A-14-22549G-200-008.png,12,16
SOB_B_A-14-22549G-200-009.png,15,13
SOB_B_A-14-22549G-200-010.png,14,14
SOB_B_A-14-22549G-200-011.png,26,2
SOB_B_A-14-22549G-200-012.png,23,5
SOB_B_A-14-22549G-200-013.png,19,9
SOB_B_A-14-22549G-200-014.png,24,4
SOB_B_A-14-22549G-200-015.png,15,13
