Img. name,Benign,Malignant
SOB_B_A-14-22549CD-100-001.png,24,4
SOB_B_A-14-22549CD-100-002.png,25,3
SOB_B_A-14-22549CD-100-003.png,13,15
SOB_B_A-14-22549CD-100-004.png,16,12
SOB_B_A-14-22549CD-100-005.png,26,2
SOB_B_A-14-22549CD-100-006.png,28,0
SOB_B_A-14-22549CD-100-007.png,21,7
SOB_B_A-14-22549CD-100-008.png,27,1
SOB_B_A-14-22549CD-100-009.png,25,3
SOB_B_A-14-22549CD-100-010.png,28,0
SOB_B_A-14-22549CD-100-011.png,28,0
SOB_B_A-14-22549CD-100-012.png,28,0
SOB_B_A-14-22549CD-100-013.png,28,0
SOB_B_A-14-22549CD-100-014.png,25,3
SOB_B_A-14-22549CD-100-015.png,28,0
SOB_B_A-14-22549CD-100-016.png,28,0
SOB_B_A-14-22549CD-100-017.png,28,0
SOB_B_A-14-22549CD-100-018.png,28,0
SOB_B_A-14-22549CD-100-019.png,28,0
SOB_B_A-14-22549CD-100-020.png,28,0
SOB_B_A-14-22549CD-100-021.png,28,0
SOB_B_A-14-22549CD-100-022.png,28,0
SOB_B_A-14-22549CD-100-023.png,28,0
SOB_B_A-14-22549CD-100-024.png,26,2
SOB_B_A-14-22549CD-100-025.png,26,2
SOB_B_A-14-22549CD-100-026.png,24,4
SOB_B_A-14-22549CD-100-027.png,23,5
SOB_B_A-14-22549CD-100-028.png,28,0
SOB_B_A-14-22549CD-100-029.png,26,2
SOB_B_A-14-22549CD-100-030.png,15,13
SOB_B_A-14-22549CD-100-031.png,16,12
SOB_B_A-14-22549CD-100-032.png,24,4
SOB_B_A-14-22549CD-100-033.png,25,3
SOB_B_A-14-22549CD-100-034.png,28,0
SOB_B_A-14-22549CD-100-035.png,28,0
SOB_B_A-14-22549CD-100-036.png,28,0
SOB_B_A-14-22549CD-200-001.png,28,0
SOB_B_A-14-22549CD-200-002.png,26,2
SOB_B_A-14-22549CD-200-003.png,26,2
SOB_B_A-14-22549CD-200-004.png,28,0
SOB_B_A-14-22549CD-200-005.png,27,1
SOB_B_A-14-22549CD-200-006.png,28,0
SOB_B_A-14-22549CD-200-007.png,28,0
SOB_B_A-14-22549CD-200-008.png,26,2
SOB_B_A-14-22549CD-200-009.png,28,0
SOB_B_A-14-22549CD-200-010.png,28,0
SOB_B_A-14-22549CD-200-011.png,27,1
SOB_B_A-14-22549CD-200-012.png,27,1
SOB_B_A-14-22549CD-200-013.png,28,0
SOB_B_A-14-22549CD-200-014.png,23,5
SOB_B_A-14-22549CD-200-015.png,14,14
SOB_B_A-14-22549CD-200-016.png,14,14
SOB_B_A-14-22549CD-200-017.png,28,0
SOB_B_A-14-22549CD-200-018.png,28,0
SOB_B_A-14-22549CD-200-019.png,28,0
SOB_B_A-14-22549CD-200-020.png,21,7
SOB_B_A-14-22549CD-200-021.png,16,12
SOB_B_A-14-22549CD-200-022.png,20,8
SOB_B_A-14-22549CD-200-023.png,27,1
SOB_B_A-14-22549CD-200-024.png,22,6
SOB_B_A-14-22549CD-200-025.png,24,4
SOB_B_A-14-22549CD-200-026.png,25,3
SOB_B_A-14-22549CD-200-027.png,26,2
SOB_B_A-14-22549CD-200-028.png,21,7
SOB_B_A-14-22549CD-200-029.png,23,5
SOB_B_A-14-22549CD-200-030.png,25,3
SOB_B_A-14-22549CD-200-031.png,19,9
SOB_B_A-14-22549CD-40-001.png,28,0
SOB_B_A-14-22549CD-40-002.png,28,0
SOB_B_A-14-22549CD-40-003.png,28,0
SOB_B_A-14-22549CD-40-004.png,28,0
SOB_B_A-14-22549CD-40-005.png,21,7
SOB_B_A-14-22549CD-40-006.png,15,13
SOB_B_A-14-22549CD-40-007.png,25,3
SOB_B_A-14-22549CD-40-008.png,26,2
SOB_B_A-14-22549CD-40-009.png,20,8
SOB_B_A-14-22549CD-40-010.png,21,7
SOB_B_A-14-22549CD-40-011.png,28,0
SOB_B_A-14-22549CD-40-012.png,28,0
SOB_B_A-14-22549CD-40-013.png,28,0
SOB_B_A-14-22549CD-40-014.png,28,0
SOB_B_A-14-22549CD-40-015.png,27,1
SOB_B_A-14-22549CD-40-016.png,28,0
SOB_B_A-14-22549CD-40-017.png,21,7
SOB_B_A-14-22549CD-40-018.png,23,5
SOB_B_A-14-22549CD-40-019.png,28,0
SOB_B_A-14-22549CD-40-020.png,28,0
SOB_B_A-14-22549CD-40-021.png,19,9
