Unit position,Benign,Malignant
"(9, 0)",37450,0
"(8, 0)",2600,0
"(9, 3)",286,2576
"(9, 4)",141,849
"(7, 0)",1885,0
"(9, 1)",126,0
"(6, 0)",521,0
"(6, 1)",31,0
"(5, 0)",48,0
"(9, 5)",13,131
"(9, 2)",60,0
"(7, 1)",27,0
"(8, 1)",28,0
"(5, 1)",5,0
"(7, 2)",12,0
"(8, 2)",16,0
"(7, 3)",3,0
"(6, 2)",3,1
"(8, 3)",2,0
"(5, 2)",1,1
"(4, 0)",2,1
"(0, 9)",0,64004
"(0, 6)",0,4777
"(1, 4)",0,512
"(0, 3)",0,1330
"(2, 5)",0,688
"(0, 2)",0,1322
"(0, 0)",0,429
"(0, 8)",0,1201
"(3, 4)",0,296
"(1, 9)",0,2770
"(0, 4)",0,1689
"(0, 1)",0,1084
"(0, 5)",0,2975
"(1, 2)",0,67
"(0, 7)",0,4010
"(4, 9)",0,444
"(4, 6)",0,177
"(2, 1)",0,17
"(2, 9)",0,2220
"(2, 7)",0,404
"(1, 8)",0,276
"(9, 6)",0,64
"(3, 5)",0,468
"(1, 6)",0,706
"(1, 0)",0,109
"(2, 6)",0,647
"(1, 1)",0,52
"(3, 9)",0,1044
"(1, 7)",0,507
"(1, 5)",0,707
"(2, 4)",0,577
"(7, 9)",0,332
"(6, 9)",0,271
"(3, 6)",0,433
"(4, 8)",0,43
"(3, 7)",0,250
"(2, 0)",0,32
"(1, 3)",0,246
"(2, 8)",0,201
"(8, 9)",0,245
"(2, 3)",0,236
"(4, 5)",0,126
"(3, 8)",0,92
"(3, 1)",0,9
"(4, 7)",0,116
"(3, 2)",0,21
"(4, 3)",0,20
"(4, 4)",0,52
"(5, 9)",0,247
"(3, 3)",0,104
"(2, 2)",0,63
"(5, 5)",0,21
"(5, 7)",0,31
"(5, 6)",0,27
"(5, 8)",0,11
"(9, 9)",0,109
"(9, 8)",0,45
"(8, 8)",0,15
"(9, 7)",0,44
"(3, 0)",0,15
"(7, 8)",0,12
"(6, 7)",0,4
"(6, 6)",0,8
"(4, 1)",0,7
"(6, 8)",0,10
"(5, 4)",0,6
"(4, 2)",0,9
"(5, 3)",0,1
"(7, 7)",0,2
