Unit position,Benign,Malignant
"(9, 0)",31150,0
"(6, 0)",1345,0
"(4, 1)",701,1755
"(5, 2)",103,97
"(7, 0)",2022,0
"(9, 3)",1162,0
"(8, 0)",158,0
"(4, 0)",141,13
"(9, 4)",292,0
"(5, 0)",281,2
"(5, 1)",46,0
"(9, 2)",1597,0
"(8, 5)",24,14
"(9, 6)",8,14
"(9, 5)",40,0
"(9, 1)",1296,0
"(3, 0)",5,65
"(3, 1)",3,26
"(6, 4)",2,40
"(8, 6)",3,9
"(6, 1)",31,0
"(8, 4)",14,0
"(6, 3)",1,0
"(7, 1)",15,0
"(4, 2)",1,28
"(7, 5)",1,9
"(8, 3)",108,0
"(8, 2)",309,0
"(7, 2)",41,0
"(8, 1)",309,0
"(7, 3)",5,0
"(6, 5)",1,16
"(6, 2)",1,0
"(6, 9)",0,4944
"(5, 9)",0,6220
"(7, 9)",0,2758
"(8, 9)",0,1082
"(3, 7)",0,997
"(3, 9)",0,13668
"(0, 9)",0,27213
"(4, 9)",0,8934
"(8, 8)",0,67
"(4, 6)",0,420
"(3, 5)",0,408
"(1, 7)",0,194
"(9, 9)",0,455
"(0, 7)",0,3767
"(1, 6)",0,426
"(2, 6)",0,883
"(0, 8)",0,1129
"(0, 4)",0,1338
"(0, 3)",0,1276
"(1, 2)",0,79
"(0, 5)",0,1769
"(2, 9)",0,5887
"(1, 1)",0,42
"(2, 3)",0,87
"(5, 7)",0,396
"(0, 1)",0,566
"(0, 2)",0,1014
"(0, 6)",0,3037
"(4, 8)",0,812
"(5, 8)",0,663
"(6, 7)",0,106
"(4, 7)",0,781
"(1, 9)",0,363
"(3, 8)",0,570
"(8, 7)",0,27
"(2, 2)",0,30
"(2, 5)",0,592
"(3, 6)",0,925
"(9, 8)",0,90
"(0, 0)",0,193
"(6, 8)",0,269
"(7, 8)",0,77
"(2, 7)",0,554
"(2, 4)",0,231
"(1, 5)",0,366
"(4, 5)",0,96
"(2, 8)",0,185
"(1, 4)",0,203
"(1, 0)",0,46
"(3, 4)",0,97
"(1, 3)",0,126
"(5, 6)",0,117
"(1, 8)",0,63
"(2, 0)",0,15
"(7, 7)",0,29
"(6, 6)",0,27
"(9, 7)",0,19
"(5, 5)",0,23
"(4, 3)",0,7
"(3, 3)",0,27
"(3, 2)",0,5
"(4, 4)",0,15
"(7, 6)",0,12
"(5, 3)",0,4
"(2, 1)",0,8
"(5, 4)",0,7
